model,threshold,n,positives,predicted_positives,tp,fp,tn,fn,accuracy,sensitivity,specificity,precision,npv,f1,balanced_accuracy,auc,brier
ARP_model,0.1,387,112,328,103,225,50,9,0.3953488372093023,0.9196428571428571,0.18181818181818182,0.31402439024390244,0.847457627118644,0.46818181818181814,0.5507305194805194,0.681461038961039,0.18845706448469915
ARP_model,0.11,387,112,323,102,221,54,10,0.40310077519379844,0.9107142857142857,0.19636363636363635,0.3157894736842105,0.84375,0.4689655172413793,0.553538961038961,0.681461038961039,0.18845706448469915
ARP_model,0.12,387,112,318,102,216,59,10,0.4160206718346253,0.9107142857142857,0.21454545454545454,0.32075471698113206,0.855072463768116,0.47441860465116276,0.5626298701298701,0.681461038961039,0.18845706448469915
ARP_model,0.13,387,112,312,100,212,63,12,0.42118863049095606,0.8928571428571429,0.2290909090909091,0.32051282051282054,0.84,0.4716981132075472,0.560974025974026,0.681461038961039,0.18845706448469915
ARP_model,0.14,387,112,308,100,208,67,12,0.4315245478036176,0.8928571428571429,0.24363636363636362,0.3246753246753247,0.8481012658227848,0.47619047619047616,0.5682467532467532,0.681461038961039,0.18845706448469915
ARP_model,0.15,387,112,301,99,202,73,13,0.4444444444444444,0.8839285714285714,0.26545454545454544,0.3289036544850498,0.8488372093023255,0.4794188861985471,0.5746915584415584,0.681461038961039,0.18845706448469915
ARP_model,0.16,387,112,296,98,198,77,14,0.45219638242894056,0.875,0.28,0.3310810810810811,0.8461538461538461,0.48039215686274506,0.5775,0.681461038961039,0.18845706448469915
ARP_model,0.17,387,112,288,98,190,85,14,0.4728682170542636,0.875,0.3090909090909091,0.3402777777777778,0.8585858585858586,0.4900000000000001,0.5920454545454545,0.681461038961039,0.18845706448469915
ARP_model,0.18,387,112,282,95,187,88,17,0.4728682170542636,0.8482142857142857,0.32,0.33687943262411346,0.8380952380952381,0.482233502538071,0.5841071428571428,0.681461038961039,0.18845706448469915
ARP_model,0.19,387,112,272,94,178,97,18,0.4935400516795866,0.8392857142857143,0.3527272727272727,0.34558823529411764,0.8434782608695652,0.48958333333333337,0.5960064935064935,0.681461038961039,0.18845706448469915
ARP_model,0.2,387,112,265,93,172,103,19,0.5064599483204134,0.8303571428571429,0.37454545454545457,0.35094339622641507,0.8442622950819673,0.4933687002652519,0.6024512987012988,0.681461038961039,0.18845706448469915
ARP_model,0.21,387,112,251,89,162,113,23,0.5219638242894057,0.7946428571428571,0.4109090909090909,0.3545816733067729,0.8308823529411765,0.4903581267217631,0.6027759740259739,0.681461038961039,0.18845706448469915
ARP_model,0.22,387,112,246,86,160,115,26,0.5193798449612403,0.7678571428571429,0.41818181818181815,0.34959349593495936,0.8156028368794326,0.4804469273743018,0.5930194805194805,0.681461038961039,0.18845706448469915
ARP_model,0.23,387,112,240,85,155,120,27,0.5297157622739018,0.7589285714285714,0.43636363636363634,0.3541666666666667,0.8163265306122449,0.4829545454545454,0.5976461038961038,0.681461038961039,0.18845706448469915
ARP_model,0.24,387,112,234,84,150,125,28,0.5400516795865633,0.75,0.45454545454545453,0.358974358974359,0.8169934640522876,0.48554913294797686,0.6022727272727273,0.681461038961039,0.18845706448469915
ARP_model,0.25,387,112,229,84,145,130,28,0.5529715762273901,0.75,0.4727272727272727,0.36681222707423583,0.8227848101265823,0.4926686217008798,0.6113636363636363,0.681461038961039,0.18845706448469915
ARP_model,0.26,387,112,220,82,138,137,30,0.5658914728682171,0.7321428571428571,0.49818181818181817,0.37272727272727274,0.8203592814371258,0.4939759036144579,0.6151623376623376,0.681461038961039,0.18845706448469915
ARP_model,0.27,387,112,210,80,130,145,32,0.5813953488372093,0.7142857142857143,0.5272727272727272,0.38095238095238093,0.8192090395480226,0.4968944099378881,0.6207792207792208,0.681461038961039,0.18845706448469915
ARP_model,0.28,387,112,198,78,120,155,34,0.6020671834625323,0.6964285714285714,0.5636363636363636,0.3939393939393939,0.8201058201058201,0.503225806451613,0.6300324675324676,0.681461038961039,0.18845706448469915
ARP_model,0.29,387,112,188,75,113,162,37,0.6124031007751938,0.6696428571428571,0.5890909090909091,0.39893617021276595,0.8140703517587939,0.5,0.629366883116883,0.681461038961039,0.18845706448469915
ARP_model,0.3,387,112,177,72,105,170,40,0.6253229974160207,0.6428571428571429,0.6181818181818182,0.4067796610169492,0.8095238095238095,0.49826989619377154,0.6305194805194805,0.681461038961039,0.18845706448469915
ARP_model,0.31,387,112,167,70,97,178,42,0.6408268733850129,0.625,0.6472727272727272,0.41916167664670656,0.8090909090909091,0.5017921146953405,0.6361363636363636,0.681461038961039,0.18845706448469915
ARP_model,0.32,387,112,157,67,90,185,45,0.6511627906976745,0.5982142857142857,0.6727272727272727,0.4267515923566879,0.8043478260869565,0.49814126394052044,0.6354707792207792,0.681461038961039,0.18845706448469915
ARP_model,0.33,387,112,147,66,81,194,46,0.6718346253229974,0.5892857142857143,0.7054545454545454,0.4489795918367347,0.8083333333333333,0.5096525096525096,0.6473701298701299,0.681461038961039,0.18845706448469915
ARP_model,0.34,387,112,133,61,72,203,51,0.6821705426356589,0.5446428571428571,0.7381818181818182,0.45864661654135336,0.7992125984251969,0.4979591836734694,0.6414123376623376,0.681461038961039,0.18845706448469915
ARP_model,0.35,387,112,123,59,64,211,53,0.6976744186046512,0.5267857142857143,0.7672727272727272,0.4796747967479675,0.7992424242424242,0.5021276595744681,0.6470292207792208,0.681461038961039,0.18845706448469915
ARP_model,0.36,387,112,116,56,60,215,56,0.7002583979328165,0.5,0.7818181818181819,0.4827586206896552,0.7933579335793358,0.49122807017543857,0.6409090909090909,0.681461038961039,0.18845706448469915
ARP_model,0.37,387,112,110,54,56,219,58,0.7054263565891473,0.48214285714285715,0.7963636363636364,0.4909090909090909,0.7906137184115524,0.4864864864864865,0.6392532467532468,0.681461038961039,0.18845706448469915
ARP_model,0.38,387,112,99,47,52,223,65,0.6976744186046512,0.41964285714285715,0.8109090909090909,0.47474747474747475,0.7743055555555556,0.44549763033175355,0.615275974025974,0.681461038961039,0.18845706448469915
ARP_model,0.39,387,112,96,46,50,225,66,0.7002583979328165,0.4107142857142857,0.8181818181818182,0.4791666666666667,0.7731958762886598,0.44230769230769235,0.614448051948052,0.681461038961039,0.18845706448469915
ARP_model,0.4,387,112,89,41,48,227,71,0.6925064599483204,0.36607142857142855,0.8254545454545454,0.4606741573033708,0.761744966442953,0.4079601990049751,0.595762987012987,0.681461038961039,0.18845706448469915
ARP_model,0.41,387,112,83,41,42,233,71,0.7080103359173127,0.36607142857142855,0.8472727272727273,0.4939759036144578,0.7664473684210527,0.42051282051282046,0.6066720779220779,0.681461038961039,0.18845706448469915
ARP_model,0.42,387,112,80,38,42,233,74,0.7002583979328165,0.3392857142857143,0.8472727272727273,0.475,0.758957654723127,0.39583333333333337,0.5932792207792208,0.681461038961039,0.18845706448469915
ARP_model,0.43,387,112,73,36,37,238,76,0.7080103359173127,0.32142857142857145,0.8654545454545455,0.4931506849315068,0.7579617834394905,0.3891891891891892,0.5934415584415584,0.681461038961039,0.18845706448469915
ARP_model,0.44,387,112,67,34,33,242,78,0.7131782945736435,0.30357142857142855,0.88,0.5074626865671642,0.75625,0.3798882681564246,0.5917857142857142,0.681461038961039,0.18845706448469915
ARP_model,0.45,387,112,61,32,29,246,80,0.7183462532299741,0.2857142857142857,0.8945454545454545,0.5245901639344263,0.754601226993865,0.3699421965317919,0.5901298701298701,0.681461038961039,0.18845706448469915
ARP_model,0.46,387,112,51,28,23,252,84,0.7235142118863049,0.25,0.9163636363636364,0.5490196078431373,0.75,0.34355828220858897,0.5831818181818182,0.681461038961039,0.18845706448469915
ARP_model,0.47,387,112,48,28,20,255,84,0.7312661498708011,0.25,0.9272727272727272,0.5833333333333334,0.7522123893805309,0.35000000000000003,0.5886363636363636,0.681461038961039,0.18845706448469915
ARP_model,0.48,387,112,43,25,18,257,87,0.7286821705426356,0.22321428571428573,0.9345454545454546,0.5813953488372093,0.747093023255814,0.32258064516129037,0.5788798701298702,0.681461038961039,0.18845706448469915
ARP_model,0.49,387,112,38,23,15,260,89,0.7312661498708011,0.20535714285714285,0.9454545454545454,0.6052631578947368,0.7449856733524355,0.30666666666666664,0.5754058441558442,0.681461038961039,0.18845706448469915
ARP_model,0.5,387,112,36,22,14,261,90,0.7312661498708011,0.19642857142857142,0.9490909090909091,0.6111111111111112,0.7435897435897436,0.2972972972972973,0.5727597402597403,0.681461038961039,0.18845706448469915
ARP_model,0.51,387,112,30,18,12,263,94,0.7260981912144703,0.16071428571428573,0.9563636363636364,0.6,0.7366946778711485,0.25352112676056343,0.5585389610389611,0.681461038961039,0.18845706448469915
ARP_model,0.52,387,112,28,18,10,265,94,0.7312661498708011,0.16071428571428573,0.9636363636363636,0.6428571428571429,0.7381615598885793,0.2571428571428572,0.5621753246753247,0.681461038961039,0.18845706448469915
ARP_model,0.53,387,112,23,14,9,266,98,0.7235142118863049,0.125,0.9672727272727273,0.6086956521739131,0.7307692307692307,0.2074074074074074,0.5461363636363636,0.681461038961039,0.18845706448469915
ARP_model,0.54,387,112,16,11,5,270,101,0.7260981912144703,0.09821428571428571,0.9818181818181818,0.6875,0.7277628032345014,0.171875,0.5400162337662338,0.681461038961039,0.18845706448469915
ARP_model,0.55,387,112,15,11,4,271,101,0.7286821705426356,0.09821428571428571,0.9854545454545455,0.7333333333333333,0.728494623655914,0.1732283464566929,0.5418344155844156,0.681461038961039,0.18845706448469915
ARP_model,0.56,387,112,14,10,4,271,102,0.7260981912144703,0.08928571428571429,0.9854545454545455,0.7142857142857143,0.7265415549597856,0.15873015873015872,0.5373701298701299,0.681461038961039,0.18845706448469915
ARP_model,0.57,387,112,12,10,2,273,102,0.7312661498708011,0.08928571428571429,0.9927272727272727,0.8333333333333334,0.728,0.16129032258064516,0.5410064935064934,0.681461038961039,0.18845706448469915
ARP_model,0.58,387,112,11,10,1,274,102,0.7338501291989664,0.08928571428571429,0.9963636363636363,0.9090909090909091,0.7287234042553191,0.16260162601626016,0.5428246753246753,0.681461038961039,0.18845706448469915
ARP_model,0.59,387,112,11,10,1,274,102,0.7338501291989664,0.08928571428571429,0.9963636363636363,0.9090909090909091,0.7287234042553191,0.16260162601626016,0.5428246753246753,0.681461038961039,0.18845706448469915
ARP_model,0.6,387,112,8,8,0,275,104,0.7312661498708011,0.07142857142857142,1.0,1.0,0.7255936675461742,0.13333333333333333,0.5357142857142857,0.681461038961039,0.18845706448469915
ARP_model,0.61,387,112,8,8,0,275,104,0.7312661498708011,0.07142857142857142,1.0,1.0,0.7255936675461742,0.13333333333333333,0.5357142857142857,0.681461038961039,0.18845706448469915
ARP_model,0.62,387,112,7,7,0,275,105,0.7286821705426356,0.0625,1.0,1.0,0.7236842105263158,0.11764705882352941,0.53125,0.681461038961039,0.18845706448469915
ARP_model,0.63,387,112,6,6,0,275,106,0.7260981912144703,0.05357142857142857,1.0,1.0,0.7217847769028871,0.10169491525423728,0.5267857142857143,0.681461038961039,0.18845706448469915
ARP_model,0.64,387,112,5,5,0,275,107,0.7235142118863049,0.044642857142857144,1.0,1.0,0.7198952879581152,0.08547008547008547,0.5223214285714286,0.681461038961039,0.18845706448469915
ARP_model,0.65,387,112,5,5,0,275,107,0.7235142118863049,0.044642857142857144,1.0,1.0,0.7198952879581152,0.08547008547008547,0.5223214285714286,0.681461038961039,0.18845706448469915
ARP_model,0.66,387,112,4,4,0,275,108,0.7209302325581395,0.03571428571428571,1.0,1.0,0.7180156657963447,0.0689655172413793,0.5178571428571429,0.681461038961039,0.18845706448469915
ARP_model,0.67,387,112,4,4,0,275,108,0.7209302325581395,0.03571428571428571,1.0,1.0,0.7180156657963447,0.0689655172413793,0.5178571428571429,0.681461038961039,0.18845706448469915
ARP_model,0.68,387,112,2,2,0,275,110,0.7157622739018088,0.017857142857142856,1.0,1.0,0.7142857142857143,0.03508771929824561,0.5089285714285714,0.681461038961039,0.18845706448469915
ARP_model,0.69,387,112,1,1,0,275,111,0.7131782945736435,0.008928571428571428,1.0,1.0,0.7124352331606217,0.017699115044247787,0.5044642857142857,0.681461038961039,0.18845706448469915
ARP_model,0.7,387,112,1,1,0,275,111,0.7131782945736435,0.008928571428571428,1.0,1.0,0.7124352331606217,0.017699115044247787,0.5044642857142857,0.681461038961039,0.18845706448469915
ARP_model,0.71,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.72,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.73,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.74,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.75,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.76,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.77,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.78,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.79,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.8,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.81,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.82,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.83,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.84,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.85,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.86,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.87,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.88,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.89,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.9,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.91,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.92,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.93,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.94,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.95,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.96,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.97,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.98,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.99,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
